"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"2913","205779_at",-1.76885403218262,8.28092942399065,-19.3675728271755,5.40275047412758e-37,3.34415246708291e-34,73.726052300533,"RAMP2","receptor activity modifying protein 2"
"8568","220027_s_at",-1.5948044447843,8.95697209902804,-19.3270991930978,6.44485989836462e-37,3.88137332743943e-34,73.5512834640572,"RASIP1","Ras interacting protein 1"
"3039","206069_s_at",-1.51304482928396,7.06457587505608,-19.2049716288094,1.09871968490038e-36,6.44283440490402e-34,73.0226507125516,"ACADL","acyl-CoA dehydrogenase long chain"
"2379","204731_at",-2.42220168031985,8.36735144693458,-19.1846448449584,1.20095089755301e-36,6.86174073081379e-34,72.9344795864151,"TGFBR3","transforming growth factor beta receptor 3"
"2240","204482_at",-1.88827772944581,9.20338721933645,-19.0237863230683,2.43270573249944e-36,1.32075855380924e-33,72.2348514185497,"CLDN5","claudin 5"
"2990","205952_at",-2.04944326425545,7.85916657570093,-19.0185466766264,2.48942508908082e-36,1.32075855380924e-33,72.2120063897418,"KCNK3","potassium two pore domain channel subfamily K member 3"
"3176","206488_s_at",-2.56711535417382,7.57859119154206,-19.0277190183897,2.39099019853858e-36,1.32075855380924e-33,72.2519957741087,"CD36","CD36 molecule (CD36 blood group)"
"6018","213451_x_at",-1.69411374958093,9.6217209533271,-19.0028414115343,2.66753655171546e-36,1.38234225539246e-33,72.1435097296718,"TNXA","tenascin XA (pseudogene)"
"6019","213451_x_at",-1.69411374958093,9.6217209533271,-19.0028414115343,2.66753655171546e-36,1.38234225539246e-33,72.1435097296718,"TNXB","tenascin XB"
"6805","215454_x_at",-3.98982156871534,8.78325574483178,-18.9401492323097,3.51595828974106e-36,1.780593149325e-33,71.8697684261696,"SFTPC","surfactant protein C"
"7035","216333_x_at",-1.65222290862421,9.56956226775701,-18.928474696783,3.70170186190928e-36,1.8330005019761e-33,71.8187363565428,"TNXB","tenascin XB"
"7036","216333_x_at",-1.65222290862421,9.56956226775701,-18.928474696783,3.70170186190928e-36,1.8330005019761e-33,71.8187363565428,"TNXA","tenascin XA (pseudogene)"
"3093","206208_at",-2.00928437987403,6.63900695658879,-18.8925070235575,4.33839863699475e-36,2.10157688756857e-33,71.6614028973123,"CA4","carbonic anhydrase 4"
"3038","206068_s_at",-1.73772780175686,6.78306473764486,-18.8794433434867,4.59602162214036e-36,2.17900318736497e-33,71.6042170973832,"ACADL","acyl-CoA dehydrogenase long chain"
"216","200878_at",-2.08742540826355,11.953380323972,-18.7966579948793,6.62764516654776e-36,3.07674619262883e-33,71.2413150479359,"EPAS1","endothelial PAS domain protein 1"
"7939","218665_at",-0.931870020957072,8.93067499985981,-18.7266564452225,9.03816033774115e-36,4.11014952665073e-33,70.9337620984972,"FZD4","frizzled class receptor 4"
"1475","203065_s_at",-2.67774073700176,10.5754072129813,-18.7060572350626,9.90319234083252e-36,4.41345669861542e-33,70.843138561289,"CAV1","caveolin 1"
"9429","41644_at",-1.14651536676566,10.3827765751215,-18.6513562414749,1.26269460337636e-35,5.51698506804618e-33,70.6022224647602,"SASH1","SAM and SH3 domain containing 1"
"1897","203865_s_at",-1.8991925178114,8.26821612824299,-18.5555528750872,1.93422644102182e-35,8.28853226640177e-33,70.1793495057909,"ADARB1","adenosine deaminase RNA specific B1"
"4451","209841_s_at",-1.45953624165553,7.80669257509346,-18.5507957989706,1.97568146902013e-35,8.30643588191993e-33,70.1583209831867,"LRRN3","leucine rich repeat neuronal 3"
"8149","219064_at",-1.13896932247572,7.66845427128972,-18.540945440506,2.06438639744944e-35,8.51865223969739e-33,70.1147684382729,"ITIH5","inter-alpha-trypsin inhibitor heavy chain 5"
"5912","213236_at",-1.49039012940641,9.42174955386916,-18.4261294051332,3.44756184812649e-35,1.39676401203277e-32,69.6061925154096,"SASH1","SAM and SH3 domain containing 1"
"1181","202524_s_at",-2.03189162242646,9.2070232838785,-18.3892363804487,4.06659866350277e-35,1.61814317890772e-32,69.4424130868587,"SPOCK2","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"
"2325","204642_at",-1.27744822288213,8.19024606838318,-18.355115034907,4.73837160216223e-35,1.85167804650318e-32,69.2907810811238,"S1PR1","sphingosine-1-phosphate receptor 1"
"6243","213974_at",-1.9936949073582,6.84047985876636,-18.3513190458618,4.81969782781422e-35,1.85167804650318e-32,69.2739027462693,"ADAMTSL3","ADAMTS like 3"
"4643","210298_x_at",-2.36360240651759,8.47389703043925,-18.287407467469,6.42056257590769e-35,2.42490501489747e-32,68.9894485582023,"FHL1","four and a half LIM domains 1"
"236","200911_s_at",-1.49805906765236,11.2967382122243,-18.1580238793687,1.14923537517764e-34,4.26806864418056e-32,68.4119748610455,"TACC1","transforming acidic coiled-coil containing protein 1"
"4250","209469_at",-2.32730832933849,6.36763252818692,-18.0810916540207,1.62623654262812e-34,5.94056211137415e-32,68.0675771536829,"GPM6A","glycoprotein M6A"
"4066","209170_s_at",-2.22453822527903,7.91219361645794,-17.9719543861602,2.66461521934944e-34,9.57671305367156e-32,67.5776930639057,"GPM6B","glycoprotein M6B"
"5954","213316_at",-1.8764116398012,6.51866265204673,-17.9389689434097,3.09441720225719e-34,1.09449045266503e-31,67.4293275947319,"JCAD","junctional cadherin 5 associated"
"4063","209167_at",-2.17365678650528,7.77271748978505,-17.9184247293212,3.39670828604923e-34,1.1826382927818e-31,67.3368503517904,"GPM6B","glycoprotein M6B"
"3725","208609_s_at",-1.7910367589328,7.68597469881308,-17.9026371305416,3.64906182468968e-34,1.25095453291631e-31,67.2657472541227,"TNXB","tenascin XB"
"1372","202877_s_at",-1.1802628651031,9.22420711292523,-17.8850413304292,3.95261929344758e-34,1.33448811690746e-31,67.1864624387277,"CD93","CD93 molecule"
"610","201539_s_at",-2.40134199975686,7.48521481831776,-17.8593790079008,4.44149056985269e-34,1.43434397634822e-31,67.0707587914033,"FHL1","four and a half LIM domains 1"
"2471","204894_s_at",-1.86863650562632,8.98374679418692,-17.8621062767186,4.38676979533938e-34,1.43434397634822e-31,67.0830592743984,"AOC3","amine oxidase copper containing 3"
"4478","209897_s_at",-1.96687274553413,9.57286258576636,-17.8643474240019,4.3423107898922e-34,1.43434397634822e-31,67.0931665385276,"SLIT2","slit guidance ligand 2"
"3048","206093_x_at",-1.41175062901548,9.51186562436449,-17.8299184952839,5.07823571889577e-34,1.61654752177363e-31,66.9378250284306,"TNXA","tenascin XA (pseudogene)"
"3049","206093_x_at",-1.41175062901548,9.51186562436449,-17.8299184952839,5.07823571889577e-34,1.61654752177363e-31,66.9378250284306,"TNXB","tenascin XB"
"3077","206167_s_at",-1.940184724557,6.98617560125234,-17.8187362690568,5.34330695751426e-34,1.67697054837028e-31,66.8873383669731,"ARHGAP6","Rho GTPase activating protein 6"
"9062","221747_at",-1.77745502924877,10.196552879486,-17.7688929778993,6.70485796438236e-34,2.07506041694906e-31,66.6621037026165,"TNS1","tensin 1"
"8748","220677_s_at",-1.58153842644088,6.41484446175701,-17.7590170819885,7.01355587058267e-34,2.14086391046841e-31,66.6174377422895,"ADAMTS8","ADAM metallopeptidase with thrombospondin type 1 motif 8"
"2297","204579_at",-1.44925899378395,7.1009250096729,-17.7252620278999,8.1807802085414e-34,2.46340980252605e-31,66.4646775213832,"FGFR4","fibroblast growth factor receptor 4"
"8827","220994_s_at",-1.40548428456861,7.54106095333645,-17.7017791383266,9.10631789993151e-34,2.70554775685565e-31,66.3583174496413,"STXBP6","syntaxin binding protein 6"
"1373","202878_s_at",-1.74853995848452,10.6624978896542,-17.6828338435563,9.9292983031013e-34,2.91124413273692e-31,66.2724572608791,"CD93","CD93 molecule"
"1869","203812_at",-0.82975342421675,8.33605527813084,-17.6524517204064,1.14082543127913e-33,3.29621655032626e-31,66.1346682538172,"SLIT3","slit guidance ligand 3"
"7505","217897_at",-1.46265588558586,8.84487255570093,-17.6499752042469,1.15381632152515e-33,3.29621655032626e-31,66.1234314887269,"FXYD6","FXYD domain containing ion transport regulator 6"
"3026","206030_at",-0.902964783803657,6.76992304437383,-17.6281436196471,1.27497331022899e-33,3.58479764992504e-31,66.0243400805444,"ASPA","aspartoacylase"
"5315","212097_at",-2.42030375389374,10.9838802776262,-17.6236321675311,1.30156402033236e-33,3.58479764992504e-31,66.003855350811,"CAV1","caveolin 1"
"8618","220170_at",-1.19385714455454,7.22522264618692,-17.6233752849144,1.30309477917663e-33,3.58479764992504e-31,66.0026888685857,"FHL5","four and a half LIM domains 5"
"8165","219091_s_at",-1.17130373337122,7.99450463776636,-17.6155993401054,1.35029876168892e-33,3.6693545495993e-31,65.967374917812,"MMRN2","multimerin 2"
"5917","213247_at",-1.19230937717558,9.4431665821215,-17.5829233877016,1.56821738196978e-33,4.21019131595573e-31,65.818893634993,"SVEP1","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
"2232","204468_s_at",-1.93103162972695,8.29483749833645,-17.5685028533714,1.67532981425077e-33,4.3919263824647e-31,65.7533219974964,"TIE1","tyrosine kinase with immunoglobulin like and EGF like domains 1"
"8327","219452_at",-1.21743761233146,7.70871375205607,-17.5692281471867,1.66977075476369e-33,4.3919263824647e-31,65.7566206251066,"DPEP2","dipeptidase 2"
"7431","217781_s_at",-0.985763759584799,9.40860907593458,-17.4933415371853,2.36505971059547e-33,6.12797971293009e-31,65.4111201979537,"ZNF106","zinc finger protein 106"
"1313","202759_s_at",-1.7144353844546,10.7096438071028,-17.4359190041194,3.07930725443099e-33,7.88691994833171e-31,65.1491888532798,"PALM2AKAP2","PALM2 and AKAP2 fusion"
"8771","220765_s_at",-1.6278048224328,8.32889506258878,-17.4159618654917,3.37542472999171e-33,8.54711241572787e-31,65.0580550613743,"LIMS2","LIM zinc finger domain containing 2"
"8322","219436_s_at",-1.80385018960029,8.01355428673832,-17.3921358715715,3.76671456515971e-33,9.32596673949486e-31,64.9491868128865,"EMCN","endomucin"
"8324","219440_at",-1.47060968472378,7.26858349456075,-17.3937411790183,3.73897281770685e-33,9.32596673949486e-31,64.9565242584394,"RAI2","retinoic acid induced 2"
"1473","203063_at",-0.653798719864536,8.41043410979439,-17.3314332811312,4.98269094754246e-33,1.22010222400097e-30,64.6714866027356,"PPM1F","protein phosphatase, Mg2+/Mn2+ dependent 1F"
"9468","49452_at",-1.05173595742752,7.07038649598131,-17.2032334728953,9.01015628710947e-33,2.18231861462674e-30,64.083438840176,"ACACB","acetyl-CoA carboxylase beta"
"2953","205866_at",-3.50309888188599,9.58054525283178,-17.1136654196898,1.36461853252172e-32,3.26965535055716e-30,63.6713356168015,"FCN3","ficolin 3"
"2716","205384_at",-1.48807723235221,8.02745004619626,-17.1083368303541,1.39878290176346e-32,3.31585951063778e-30,63.646786162301,"FXYD1","FXYD domain containing ion transport regulator 1"
"6312","214135_at",-3.44641165224665,10.0970032851215,-17.0576474764409,1.77005087617695e-32,4.15179407093169e-30,63.4130713737041,"CLDN18","claudin 18"
"9418","40687_at",-0.960383499694582,6.90643821502804,-17.0275981033915,2.03544287476809e-32,4.72455974775597e-30,63.2743657758553,"GJA4","gap junction protein alpha 4"
"5226","211922_s_at",-1.42192688404258,9.42075256479439,-17.0127536568212,2.1809707862266e-32,5.01016206489561e-30,63.2058020849898,"CAT","catalase"
"7972","218723_s_at",-2.243364731924,10.8336918646542,-16.9743411833064,2.60802909262273e-32,5.93007268070533e-30,63.0282506097696,"RGCC","regulator of cell cycle"
"4477","209894_at",-2.59434014675369,7.83540139329907,-16.9354523666098,3.12622650487953e-32,7.03653587961925e-30,62.8483041905602,"LEPR","leptin receptor"
"8021","218820_at",-1.51402576344476,8.6518601043271,-16.919498334096,3.36770582799183e-32,7.50425889651419e-30,62.7744254615246,"C14orf132","chromosome 14 open reading frame 132"
"9414","40560_at",-1.54167924883709,9.31962758488785,-16.9071497012007,3.56742584177811e-32,7.87058911211303e-30,62.7172199073647,"TBX2","T-box transcription factor 2"
"536","201432_at",-1.37352734170936,11.4986419791402,-16.9045435190462,3.61107632624106e-32,7.88878566447349e-30,62.7051441587449,"CAT","catalase"
"5884","213169_at",-1.42605157942611,8.16403252629907,-16.8129158937514,5.5407210572266e-32,1.19867851765224e-29,62.2800335878042,"SEMA5A","semaphorin 5A"
"9431","43427_at",-0.885983733039056,7.25933807928037,-16.6942934636485,9.65950352914578e-32,2.06964151096111e-29,61.7280818932891,"ACACB","acetyl-CoA carboxylase beta"
"638","201577_at",1.74771340239163,9.70462189485981,16.6607929970948,1.13048547028621e-31,2.3991054985131e-29,61.5718779342193,"NME1","NME/NM23 nucleoside diphosphate kinase 1"
"8859","221133_s_at",-2.26607584261084,7.90805096834579,-16.6469700103401,1.20633799509636e-31,2.53592731554078e-29,61.5073831688023,"CLDN18","claudin 18"
"4485","209904_at",-2.89797732587157,6.99578145203738,-16.6377581218015,1.25970965343943e-31,2.62337478575614e-29,61.4643891449872,"TNNC1","troponin C1, slow skeletal and cardiac type"
"1728","203562_at",-1.45249988599296,8.84849364971028,-16.6181945892386,1.38106757411861e-31,2.84034635884255e-29,61.3730456715466,"FEZ1","fasciculation and elongation protein zeta 1"
"6942","215918_s_at",-1.16984041074771,7.68052047888785,-16.6169170355421,1.38938990761495e-31,2.84034635884255e-29,61.367078987252,"SPTBN1","spectrin beta, non-erythrocytic 1"
"3932","208983_s_at",-1.49895363676215,9.48991259064486,-16.6114048156706,1.42588020045756e-31,2.8884444097087e-29,61.3413323391753,"PECAM1","platelet and endothelial cell adhesion molecule 1"
"4126","209283_at",-1.26419375881949,8.24599178718692,-16.5345050628979,2.04798059635539e-31,4.11127492149434e-29,60.9817426515724,"CRYAB","crystallin alpha B"
"2651","205247_at",-0.992710972269174,7.56432932772897,-16.5127316776963,2.26937331860488e-31,4.51503979093504e-29,60.8797916646419,"NOTCH4","notch receptor 4"
"5324","212111_at",-0.885275126334275,8.56551924719626,-16.4979356372636,2.43340794678832e-31,4.79855126356496e-29,60.8104767468782,"STX12","syntaxin 12"
"5955","213317_at",-3.08355136849367,9.29604899481308,-16.4630613850766,2.86879933395062e-31,5.60749610161593e-29,60.6469914303089,"CLIC5","chloride intracellular channel 5"
"5703","212822_at",-1.26917229841204,9.23101410459813,-16.4597264580592,2.91433560976234e-31,5.6469687297682e-29,60.6313496904512,"HEG1","heart development protein with EGF like domains 1"
"2512","204975_at",-2.02715987073821,10.6101688395234,-16.4507686182562,3.0402802500993e-31,5.84022110456576e-29,60.5893279237587,"EMP2","epithelial membrane protein 2"
"8088","218950_at",-0.940696446050312,8.54603120700935,-16.4355833931373,3.2664126071786e-31,6.22098052356929e-29,60.5180698368352,"ARAP3","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"
"1733","203571_s_at",-2.70546276318719,8.55214836058878,-16.4311400075578,3.33572667026832e-31,6.29915232149059e-29,60.4972132982711,"ADIRF","adipogenesis regulatory factor"
"7332","217437_s_at",-1.43346001785749,7.08924661246729,-16.3674286038153,4.50885890842441e-31,8.44293302995136e-29,60.1978867636918,"TACC1","transforming acidic coiled-coil containing protein 1"
"486","201348_at",-2.11088226987403,11.7950269641308,-16.3636077505285,4.59116014270734e-31,8.52540178832898e-29,60.1799194180624,"GPX3","glutathione peroxidase 3"
"9063","221748_s_at",-1.65817753771956,11.2853584867196,-16.2935887770013,6.39769425505647e-31,1.17818033954895e-28,59.8503319099671,"TNS1","tensin 1"
"1311","202747_s_at",-1.27762184799508,9.6677389278972,-16.2433387511214,8.12087248150306e-31,1.48325738938797e-28,59.6134171132861,"ITM2A","integral membrane protein 2A"
"4450","209840_s_at",-1.75553804688143,7.5965004105514,-16.1975247723371,1.00961700016537e-30,1.82904842395813e-28,59.3971393263223,"LRRN3","leucine rich repeat neuronal 3"
"8144","219059_s_at",-1.23065680179522,8.61262485098131,-16.1686563204432,1.1582314810317e-30,2.08136065256688e-28,59.2607218203261,"LYVE1","lymphatic vessel endothelial hyaluronan receptor 1"
"8498","219866_at",-2.34282370976883,9.05992671952336,-16.1057643774644,1.56270737879042e-30,2.78574468172695e-28,58.9631636843044,"CLIC5","chloride intracellular channel 5"
"3226","206658_at",-2.70631248795918,7.11419045364486,-16.0477186634002,2.06122192359911e-30,3.64525461298087e-28,58.6880935004504,"UPK3B","uroplakin 3B"
"6207","213900_at",-1.31001294184658,8.16313376297196,-16.0389677593902,2.14915992817403e-30,3.77084493539384e-28,58.646587594824,"ENTREP1","endosomal transmembrane epsin interactor 1"
"2065","204153_s_at",-0.906926000641448,8.57893403423365,-16.0182665632343,2.37250198633373e-30,4.1301923251152e-28,58.5483627703674,"MFNG","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"122","200700_s_at",1.42227021201337,10.5777351008505,15.9777801010434,2.87904715712397e-30,4.97316339551887e-28,58.3561041146282,"KDELR2","KDEL endoplasmic reticulum protein retention receptor 2"
"6292","214091_s_at",-2.16680330984588,11.0883378167477,-15.9564191178634,3.18878642894686e-30,5.46582523047868e-28,58.2545843358428,"GPX3","glutathione peroxidase 3"
"4326","209612_s_at",-3.34690475788706,9.44276786326168,-15.9488713259625,3.30606600812289e-30,5.62359304267193e-28,58.2186992282685,"ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide"
"7753","218346_s_at",-1.19538618881703,9.23129952292523,-15.9456783725696,3.35697528849359e-30,5.66693032981081e-28,58.2035165586572,"SESN1","sestrin 1"
"4261","209493_at",-2.25984359943209,7.71080879957944,-15.8993005337015,4.19186068723204e-30,6.9382125332432e-28,57.9828440099455,"PDZD2","PDZ domain containing 2"
"5306","212071_s_at",-1.31508742583251,11.4235617991215,-15.9010851382767,4.15616727777688e-30,6.9382125332432e-28,57.9913403792101,"SPTBN1","spectrin beta, non-erythrocytic 1"
"5652","212713_at",-2.11139929385222,9.1814529222243,-15.898723498221,4.20346762997726e-30,6.9382125332432e-28,57.9800967021977,"MFAP4","microfibril associated protein 4"
"2692","205326_at",-1.89775508273364,9.41386021904673,-15.8950440332922,4.27824297925764e-30,7.00971237549985e-28,57.9625775277021,"RAMP3","receptor activity modifying protein 3"
"8858","221132_at",-2.13926588768614,7.68423578979439,-15.8883812930265,4.41706554060827e-30,7.1843409811222e-28,57.9308496820665,"CLDN18","claudin 18"
"1601","203323_at",-2.46410380477234,9.52283907152336,-15.8174316108289,6.20813456949381e-30,1.0024337870437e-27,57.5926461678759,"CAV2","caveolin 2"
"7492","217871_s_at",1.36643397130612,11.5221092136075,15.8073860094436,6.51498278891691e-30,1.04441267255709e-27,57.5447101811213,"MIF","macrophage migration inhibitory factor"
"8296","219371_s_at",-1.92435652858867,9.83722269623365,-15.7791452556226,7.46180374623971e-30,1.18765266341042e-27,57.4098828244179,"KLF2","KLF transcription factor 2"
"9519","63305_at",-0.911051950962351,8.07103243353271,-15.7288781153128,9.50258775685027e-30,1.50174583677939e-27,57.169652460031,"PKNOX2","PBX/knotted 1 homeobox 2"
"2678","205303_at",-0.916433431461295,8.39725237966355,-15.6975481573437,1.10497284523668e-29,1.73395140214148e-27,57.0197662632234,"KCNJ8","potassium inwardly rectifying channel subfamily J member 8"
"8234","219230_at",-3.57031273310556,8.5036511825514,-15.689002085673,1.15141031098837e-29,1.79418713005271e-27,56.9788598187839,"TMEM100","transmembrane protein 100"
"3511","207761_s_at",-1.68517177466397,10.1482733731308,-15.667603750058,1.27647605127158e-29,1.97525804517254e-27,56.8763954915415,"TMT1A","thiol methyltransferase 1A"
"2773","205507_at",-0.926003833981705,7.81265715185981,-15.6547374138803,1.35816034543684e-29,2.08716461912891e-27,56.8147588396779,"ARHGEF15","Rho guanine nucleotide exchange factor 15"
"1870","203813_s_at",-0.994064270900779,7.32582437694393,-15.6287281687275,1.53969081223038e-29,2.34992673759792e-27,56.6900983636709,"SLIT3","slit guidance ligand 3"
"2826","205632_s_at",-1.76377186844441,8.12897816673832,-15.6074051642005,1.706578004639e-29,2.55219313270945e-27,56.5878366458941,"PIP5K1B","phosphatidylinositol-4-phosphate 5-kinase type 1 beta"
"3738","208634_s_at",-1.29331100574702,11.2847193723645,-15.6085492924075,1.69717827743466e-29,2.55219313270945e-27,56.5933251202674,"MACF1","microtubule actin crosslinking factor 1"
"5660","212730_at",-1.18989900223997,8.37154485457944,-15.608966798998,1.69376117564007e-29,2.55219313270945e-27,56.5953278926747,"SYNM","synemin"
"4294","209543_s_at",-1.04981730078748,8.92288493412149,-15.5699362059896,2.04511785272548e-29,3.03809074081879e-27,56.4080062557166,"CD34","CD34 molecule"
"8489","219821_s_at",-0.999488838956724,8.74901092157009,-15.5469286237811,2.2856721997288e-29,3.3729558693084e-27,56.2974972020421,"GFOD1","Gfo/Idh/MocA-like oxidoreductase domain containing 1"
"6071","213541_s_at",-1.70588698984764,7.67247334308411,-15.4852255479866,3.08086706118071e-29,4.51651057396644e-27,56.0008077946166,"ERG","ETS transcription factor ERG"
"2889","205726_at",-1.00703754507354,8.42684281209346,-15.4504471594511,3.64621188082922e-29,5.31036204839984e-27,55.833376618811,"DIAPH2","diaphanous related formin 2"
"9522","64064_at",-0.976216849109429,10.0740688234673,-15.4141205992789,4.34845933847449e-29,6.29199476878098e-27,55.6583349020233,"GIMAP5","GTPase, IMAP family member 5"
